Timestamp,CH0,CH1,CH2,CH3,CH4,CH5,CH6,CH7,CH8,CH9,CH10,CH11,CH12,CH13,CH14,CH15
2025-09-03 20:01:43.932064,1.634V,1.776A,1.634V,1.778A,1.633V,1.778A,1.637V,1.777A,1.635V,1.775A,1.640V,1.787A,1.635V,1.777A,1.637V,1.774A
2025-09-03 20:01:44.140774,1.631V,1.770A,1.635V,1.775A,1.637V,1.751A,1.635V,1.780A,1.634V,1.775A,1.638V,1.774A,1.633V,1.775A,1.637V,1.781A
2025-09-03 20:01:44.412450,1.635V,1.769A,1.640V,1.772A,1.637V,1.785A,1.637V,1.775A,1.634V,1.777A,1.638V,1.768A,1.642V,1.780A,1.632V,1.778A
2025-09-03 20:01:44.618092,1.633V,1.778A,1.633V,1.777A,1.634V,1.774A,1.637V,1.777A,1.635V,1.776A,1.636V,1.770A,1.637V,1.786A,1.636V,1.778A
2025-09-03 20:01:44.822619,1.633V,1.773A,1.637V,1.774A,1.632V,1.777A,1.637V,1.772A,1.636V,1.778A,1.634V,1.781A,1.637V,1.778A,1.635V,1.783A
2025-09-03 20:01:45.091829,1.636V,1.775A,1.633V,1.776A,1.636V,1.766A,1.633V,1.776A,1.631V,1.777A,1.636V,1.767A,1.637V,1.782A,1.637V,1.779A
2025-09-03 20:01:45.297606,1.633V,1.774A,1.632V,1.774A,1.637V,1.728A,1.631V,1.782A,1.634V,1.776A,1.637V,1.764A,1.635V,1.779A,1.637V,1.783A
2025-09-03 20:01:45.503744,1.634V,1.773A,1.640V,1.777A,1.631V,1.772A,1.636V,1.773A,1.633V,1.778A,1.631V,1.787A,1.633V,1.781A,1.636V,1.778A
2025-09-03 20:01:45.772226,1.634V,1.777A,1.633V,1.776A,1.635V,1.785A,1.638V,1.775A,1.633V,1.776A,1.633V,1.771A,1.636V,1.774A,1.638V,1.781A
2025-09-03 20:01:45.977615,1.635V,1.774A,1.633V,1.776A,1.633V,1.770A,1.638V,1.775A,1.635V,1.780A,1.633V,1.790A,1.636V,1.786A,1.633V,1.779A
2025-09-03 20:01:46.182523,1.633V,1.774A,1.633V,1.774A,1.639V,1.766A,1.635V,1.778A,1.633V,1.774A,1.633V,1.780A,1.634V,1.781A,1.634V,1.782A
2025-09-03 20:01:46.451739,1.637V,1.770A,1.640V,1.773A,1.636V,1.791A,1.634V,1.773A,1.630V,1.777A,1.635V,1.766A,1.636V,1.774A,1.637V,1.777A
2025-09-03 20:01:46.657829,1.633V,1.770A,1.633V,1.774A,1.630V,1.774A,1.633V,1.777A,1.633V,1.780A,1.633V,1.795A,1.633V,1.778A,1.635V,1.778A
2025-09-03 20:01:46.862518,1.636V,1.774A,1.637V,1.777A,1.633V,1.780A,1.635V,1.772A,1.636V,1.777A,1.639V,1.779A,1.635V,1.776A,1.633V,1.782A
2025-09-03 20:01:47.131656,1.631V,1.771A,1.637V,1.773A,1.638V,1.783A,1.637V,1.773A,1.637V,1.777A,1.635V,1.748A,1.639V,1.783A,1.641V,1.780A
2025-09-03 20:01:47.338027,1.633V,1.778A,1.635V,1.776A,1.636V,1.768A,1.635V,1.775A,1.637V,1.778A,1.633V,1.759A,1.637V,1.777A,1.635V,1.782A
2025-09-03 20:01:47.542397,1.632V,1.774A,1.633V,1.776A,1.636V,1.784A,1.633V,1.774A,1.639V,1.777A,1.634V,1.776A,1.638V,1.780A,1.637V,1.782A
2025-09-03 20:01:47.812214,1.633V,1.777A,1.637V,1.770A,1.636V,1.785A,1.636V,1.774A,1.636V,1.778A,1.633V,1.772A,1.637V,1.778A,1.639V,1.778A
2025-09-03 20:01:48.018353,1.635V,1.772A,1.639V,1.775A,1.635V,1.764A,1.636V,1.777A,1.635V,1.774A,1.641V,1.785A,1.637V,1.776A,1.641V,1.785A
2025-09-03 20:01:48.224455,1.633V,1.771A,1.634V,1.777A,1.637V,1.788A,1.637V,1.773A,1.634V,1.777A,1.641V,1.776A,1.637V,1.781A,1.634V,1.782A
2025-09-03 20:01:48.491983,1.631V,1.775A,1.638V,1.776A,1.635V,1.761A,1.632V,1.778A,1.633V,1.776A,1.633V,1.770A,1.642V,1.781A,1.634V,1.779A
2025-09-03 20:01:48.697481,1.633V,1.777A,1.639V,1.777A,1.635V,1.770A,1.633V,1.778A,1.633V,1.779A,1.641V,1.795A,1.638V,1.778A,1.637V,1.778A
2025-09-03 20:01:48.902575,1.629V,1.768A,1.638V,1.773A,1.637V,1.763A,1.637V,1.774A,1.636V,1.776A,1.637V,1.761A,1.637V,1.782A,1.633V,1.778A
2025-09-03 20:01:49.172778,1.629V,1.778A,1.637V,1.773A,1.632V,1.781A,1.631V,1.778A,1.630V,1.780A,1.636V,1.781A,1.633V,1.774A,1.640V,1.774A
2025-09-03 20:01:49.378122,1.630V,1.773A,1.638V,1.775A,1.632V,1.770A,1.632V,1.777A,1.632V,1.774A,1.637V,1.770A,1.636V,1.777A,1.641V,1.778A
2025-09-03 20:01:49.582981,1.635V,1.775A,1.630V,1.776A,1.633V,1.782A,1.634V,1.775A,1.633V,1.774A,1.639V,1.776A,1.639V,1.782A,1.637V,1.779A
2025-09-03 20:01:49.852035,1.634V,1.777A,1.638V,1.774A,1.634V,1.770A,1.638V,1.776A,1.634V,1.774A,1.636V,1.781A,1.637V,1.775A,1.638V,1.784A
2025-09-03 20:01:50.056473,1.633V,1.773A,1.640V,1.773A,1.635V,1.767A,1.634V,1.776A,1.636V,1.777A,1.633V,1.790A,1.637V,1.778A,1.637V,1.783A
2025-09-03 20:01:50.261277,1.633V,1.773A,1.632V,1.778A,1.637V,1.782A,1.637V,1.777A,1.630V,1.778A,1.632V,1.769A,1.636V,1.783A,1.637V,1.778A
2025-09-03 20:01:50.532089,1.635V,1.770A,1.634V,1.774A,1.634V,1.774A,1.637V,1.770A,1.635V,1.778A,1.635V,1.781A,1.637V,1.777A,1.632V,1.778A
2025-09-03 20:01:50.737537,1.633V,1.772A,1.635V,1.776A,1.638V,1.773A,1.633V,1.779A,1.631V,1.778A,1.634V,1.795A,1.639V,1.775A,1.638V,1.773A
2025-09-03 20:01:50.943132,1.633V,1.770A,1.637V,1.773A,1.641V,1.790A,1.633V,1.773A,1.637V,1.777A,1.632V,1.773A,1.639V,1.783A,1.636V,1.782A
2025-09-03 20:01:51.213139,1.633V,1.769A,1.639V,1.778A,1.634V,1.778A,1.633V,1.774A,1.631V,1.774A,1.636V,1.781A,1.638V,1.781A,1.636V,1.778A
2025-09-03 20:01:51.418831,1.635V,1.773A,1.639V,1.774A,1.632V,1.772A,1.633V,1.776A,1.635V,1.777A,1.635V,1.787A,1.636V,1.778A,1.636V,1.778A
2025-09-03 20:01:51.622857,1.633V,1.774A,1.633V,1.778A,1.641V,1.742A,1.632V,1.772A,1.633V,1.778A,1.632V,1.755A,1.635V,1.772A,1.641V,1.782A
2025-09-03 20:01:51.892978,1.635V,1.769A,1.639V,1.774A,1.634V,1.751A,1.637V,1.777A,1.637V,1.777A,1.635V,1.756A,1.639V,1.780A,1.640V,1.775A
2025-09-03 20:01:52.098220,1.634V,1.774A,1.631V,1.773A,1.633V,1.770A,1.634V,1.776A,1.631V,1.778A,1.634V,1.773A,1.637V,1.779A,1.635V,1.782A
2025-09-03 20:01:52.303217,1.632V,1.770A,1.633V,1.774A,1.637V,1.788A,1.634V,1.775A,1.633V,1.778A,1.636V,1.770A,1.632V,1.776A,1.639V,1.778A
2025-09-03 20:01:52.573009,1.635V,1.775A,1.634V,1.773A,1.637V,1.769A,1.630V,1.776A,1.636V,1.776A,1.637V,1.777A,1.633V,1.779A,1.635V,1.779A
2025-09-03 20:01:52.778495,1.635V,1.774A,1.633V,1.776A,1.637V,1.774A,1.640V,1.777A,1.634V,1.775A,1.634V,1.764A,1.643V,1.775A,1.630V,1.780A
